topology,seed,k_target,node_id,degree,clustering,avg_neighbor_degree,final_accuracy,delta_from_mean
ER,0,8,4,7,0.8571428571428571,9.142857142857142,70.22,-0.09666666666667822
ER,0,8,5,8,0.7857142857142857,8.75,70.49,0.1733333333333178
ER,0,8,6,5,1.0,9.6,59.19,-11.12666666666668
ER,0,8,7,9,0.8055555555555556,8.666666666666666,72.67,2.3533333333333246
ER,0,8,8,8,0.75,8.5,68.78,-1.536666666666676
ER,0,8,9,11,0.7090909090909091,8.090909090909092,72.72,2.4033333333333218
ER,0,8,10,7,0.8571428571428571,9.142857142857142,71.33,1.0133333333333212
ER,0,8,11,10,0.7111111111111111,8.2,72.49,2.173333333333318
ER,1,8,0,8,0.6785714285714286,7.875,71.65,0.25916666666667254
ER,1,8,1,7,0.7142857142857143,8.428571428571429,70.39,-1.0008333333333326
ER,1,8,2,8,0.6785714285714286,7.875,72.22,0.8291666666666657
ER,1,8,3,7,0.7142857142857143,8.142857142857142,71.78,0.389166666666668
ER,1,8,4,8,0.6428571428571429,7.75,70.7,-0.6908333333333303
ER,1,8,5,8,0.6785714285714286,8.0,69.09,-2.3008333333333297
ER,1,8,6,9,0.6666666666666666,7.777777777777778,71.87,0.4791666666666714
ER,1,8,7,9,0.6111111111111112,7.555555555555555,71.8,0.409166666666664
ER,1,8,8,8,0.6785714285714286,7.875,72.49,1.0991666666666617
ER,1,8,9,6,0.8,8.5,70.99,-0.40083333333333826
ER,1,8,10,7,0.6666666666666666,8.142857142857142,72.07,0.67916666666666
ER,1,8,11,9,0.6388888888888888,7.666666666666667,71.64,0.24916666666666742
ER,2,8,0,9,0.8611111111111112,9.222222222222221,71.67,0.31416666666666515
ER,2,8,1,10,0.8,8.9,71.84,0.48416666666666686
ER,2,8,2,9,0.7777777777777778,9.0,70.84,-0.5158333333333331
ER,2,8,3,7,0.6666666666666666,8.857142857142858,69.51,-1.8458333333333314
ER,2,8,4,8,0.8214285714285714,9.125,71.81,0.4541666666666657
ER,2,8,5,8,0.75,8.875,69.58,-1.7758333333333383
ER,2,8,6,7,0.7619047619047619,9.0,71.09,-0.26583333333333314
ER,2,8,7,9,0.8333333333333334,9.11111111111111,71.84,0.48416666666666686
ER,2,8,8,10,0.8,8.9,72.49,1.1341666666666583
ER,2,8,9,9,0.7777777777777778,9.0,71.46,0.10416666666665719
ER,2,8,10,10,0.7777777777777778,8.8,72.01,0.6541666666666686
ER,2,8,11,10,0.7777777777777778,8.8,72.13,0.7741666666666589
WS,0,8,0,10,0.6666666666666666,7.8,72.08,1.9891666666666623
WS,0,8,1,9,0.6944444444444444,8.0,71.81,1.7191666666666663
WS,0,8,2,7,0.7142857142857143,8.428571428571429,71.38,1.2891666666666595
WS,0,8,3,8,0.6785714285714286,8.0,71.45,1.3591666666666669
WS,0,8,4,9,0.6944444444444444,8.0,69.94,-0.15083333333333826
WS,0,8,5,7,0.7142857142857143,8.571428571428571,67.04,-3.0508333333333297
WS,0,8,6,7,0.7142857142857143,8.428571428571429,67.34,-2.7508333333333326
WS,0,8,7,8,0.5714285714285714,7.625,70.13,0.039166666666659467
WS,0,8,8,8,0.7142857142857143,8.125,66.74,-3.350833333333341
WS,0,8,9,8,0.6785714285714286,8.0,70.37,0.27916666666666856
WS,0,8,10,8,0.7142857142857143,8.25,71.52,1.42916666666666
WS,0,8,11,7,0.7142857142857143,8.285714285714286,71.29,1.1991666666666703
WS,1,8,0,8,0.75,8.625,72.49,2.074166666666656
WS,1,8,1,7,0.8571428571428571,8.857142857142858,68.07,-2.3458333333333456
WS,1,8,2,11,0.6727272727272727,7.7272727272727275,72.75,2.334166666666661
WS,1,8,3,8,0.75,8.625,72.2,1.784166666666664
WS,1,8,4,9,0.7222222222222222,8.11111111111111,72.36,1.9441666666666606
WS,1,8,5,6,0.8666666666666667,9.166666666666666,67.37,-3.0458333333333343
WS,1,8,6,6,0.9333333333333333,9.0,69.11,-1.3058333333333394
WS,1,8,7,8,0.75,8.375,71.72,1.30416666666666
WS,1,8,8,5,0.9,9.6,62.65,-7.76583333333334
WS,1,8,9,11,0.6727272727272727,7.7272727272727275,72.75,2.334166666666661
WS,1,8,10,8,0.75,8.25,71.08,0.6641666666666595
WS,1,8,11,9,0.7222222222222222,8.11111111111111,72.44,2.024166666666659
WS,2,8,0,6,0.7333333333333333,8.333333333333334,68.81,-1.9491666666666703
WS,2,8,1,7,0.6190476190476191,8.142857142857142,70.01,-0.7491666666666674
WS,2,8,2,9,0.6666666666666666,8.0,71.94,1.1808333333333252
WS,2,8,3,7,0.8095238095238095,8.714285714285714,70.37,-0.389166666666668
WS,2,8,4,10,0.6888888888888889,7.9,71.44,0.6808333333333252
WS,2,8,5,7,0.8095238095238095,8.428571428571429,69.45,-1.3091666666666697
WS,2,8,6,9,0.6944444444444444,8.0,71.3,0.5408333333333246
WS,2,8,7,8,0.6785714285714286,8.125,68.18,-2.5791666666666657
WS,2,8,8,9,0.75,8.222222222222221,71.75,0.9908333333333275
WS,2,8,9,8,0.75,8.5,71.17,0.41083333333332916
WS,2,8,10,7,0.6666666666666666,8.0,72.59,1.8308333333333309
WS,2,8,11,9,0.6666666666666666,7.888888888888889,72.1,1.3408333333333218
BA,0,8,0,8,0.39285714285714285,5.375,72.09,0.653333333333336
BA,0,8,1,2,1.0,8.5,63.57,-7.866666666666667
BA,0,8,2,5,0.5,6.0,72.26,0.8233333333333377
BA,0,8,3,5,0.4,6.0,70.0,-1.4366666666666674
BA,0,8,4,5,0.8,6.8,70.97,-0.46666666666666856
BA,0,8,5,9,0.3888888888888889,5.111111111111111,72.73,1.2933333333333366
