topology,mixing_strategy,num_nodes,seed,k_target,round,node_id,accuracy,degree
ER,uniform,30,42,4,14,18,72.87,7
ER,uniform,30,42,4,14,19,66.45,1
ER,uniform,30,42,4,14,20,69.74,4
ER,uniform,30,42,4,14,21,66.84,3
ER,uniform,30,42,4,14,22,67.89,4
ER,uniform,30,42,4,14,23,69.31,2
ER,uniform,30,42,4,14,24,66.13,2
ER,uniform,30,42,4,14,25,68.24,5
ER,uniform,30,42,4,14,26,66.36,5
ER,uniform,30,42,4,14,27,64.6,3
ER,uniform,30,42,4,14,28,65.46,1
ER,uniform,30,42,4,14,29,71.97,3
ER,uniform,30,42,4,15,0,65.08,4
ER,uniform,30,42,4,15,1,68.45,3
ER,uniform,30,42,4,15,2,66.61,4
ER,uniform,30,42,4,15,3,70.16,3
ER,uniform,30,42,4,15,4,69.75,4
ER,uniform,30,42,4,15,5,67.56,4
ER,uniform,30,42,4,15,6,70.74,3
ER,uniform,30,42,4,15,7,68.47,1
ER,uniform,30,42,4,15,8,70.19,7
ER,uniform,30,42,4,15,9,68.48,4
ER,uniform,30,42,4,15,10,69.88,2
ER,uniform,30,42,4,15,11,68.75,4
ER,uniform,30,42,4,15,12,67.37,3
ER,uniform,30,42,4,15,13,68.25,2
ER,uniform,30,42,4,15,14,68.93,3
ER,uniform,30,42,4,15,15,70.37,4
ER,uniform,30,42,4,15,16,68.5,4
ER,uniform,30,42,4,15,17,68.56,3
ER,uniform,30,42,4,15,18,72.59,7
ER,uniform,30,42,4,15,19,64.81,1
ER,uniform,30,42,4,15,20,70.2,4
ER,uniform,30,42,4,15,21,67.0,3
ER,uniform,30,42,4,15,22,67.89,4
ER,uniform,30,42,4,15,23,67.41,2
ER,uniform,30,42,4,15,24,66.59,2
ER,uniform,30,42,4,15,25,68.99,5
ER,uniform,30,42,4,15,26,67.26,5
ER,uniform,30,42,4,15,27,65.18,3
ER,uniform,30,42,4,15,28,67.17,1
ER,uniform,30,42,4,15,29,71.74,3
ER,uniform,30,42,4,16,0,65.31,4
ER,uniform,30,42,4,16,1,69.22,3
ER,uniform,30,42,4,16,2,67.1,4
ER,uniform,30,42,4,16,3,70.98,3
ER,uniform,30,42,4,16,4,69.91,4
ER,uniform,30,42,4,16,5,69.38,4
ER,uniform,30,42,4,16,6,70.89,3
ER,uniform,30,42,4,16,7,69.16,1
ER,uniform,30,42,4,16,8,70.53,7
ER,uniform,30,42,4,16,9,68.78,4
ER,uniform,30,42,4,16,10,70.26,2
ER,uniform,30,42,4,16,11,68.57,4
ER,uniform,30,42,4,16,12,68.05,3
ER,uniform,30,42,4,16,13,68.11,2
ER,uniform,30,42,4,16,14,69.28,3
ER,uniform,30,42,4,16,15,70.23,4
ER,uniform,30,42,4,16,16,68.79,4
ER,uniform,30,42,4,16,17,68.86,3
ER,uniform,30,42,4,16,18,73.37,7
ER,uniform,30,42,4,16,19,66.69,1
ER,uniform,30,42,4,16,20,70.32,4
ER,uniform,30,42,4,16,21,67.72,3
ER,uniform,30,42,4,16,22,68.7,4
ER,uniform,30,42,4,16,23,69.52,2
ER,uniform,30,42,4,16,24,67.67,2
ER,uniform,30,42,4,16,25,68.94,5
ER,uniform,30,42,4,16,26,67.56,5
ER,uniform,30,42,4,16,27,66.0,3
ER,uniform,30,42,4,16,28,67.47,1
ER,uniform,30,42,4,16,29,72.73,3
ER,uniform,30,42,4,17,0,66.48,4
ER,uniform,30,42,4,17,1,69.67,3
ER,uniform,30,42,4,17,2,68.42,4
ER,uniform,30,42,4,17,3,71.17,3
ER,uniform,30,42,4,17,4,70.55,4
ER,uniform,30,42,4,17,5,70.91,4
ER,uniform,30,42,4,17,6,71.74,3
